Photon   	Incoher.	Photoel.	Tot. wo/	
Energy   	Scatter.	Absorb. 	Coherent	

1.000E-03	1.263E-02	2.210E+03	2.210E+03	
1.500E-03	2.507E-02	6.994E+02	6.995E+02	
2.000E-03	3.862E-02	3.017E+02	3.017E+02	
3.000E-03	6.408E-02	8.965E+01	8.971E+01	
4.000E-03	8.448E-02	3.724E+01	3.732E+01	
5.000E-03	9.947E-02	1.866E+01	1.876E+01	
6.000E-03	1.104E-01	1.054E+01	1.065E+01	
8.000E-03	1.252E-01	4.241E+00	4.366E+00	
1.000E-02	1.352E-01	2.076E+00	2.211E+00	
1.500E-02	1.510E-01	5.585E-01	7.096E-01	
2.000E-02	1.595E-01	2.177E-01	3.772E-01	
3.000E-02	1.655E-01	5.706E-02	2.225E-01	
4.000E-02	1.653E-01	2.193E-02	1.872E-01	
5.000E-02	1.630E-01	1.042E-02	1.734E-01	
6.000E-02	1.598E-01	5.671E-03	1.655E-01	
8.000E-02	1.531E-01	2.169E-03	1.553E-01	
1.000E-01	1.466E-01	1.031E-03	1.476E-01	
1.500E-01	1.327E-01	2.706E-04	1.330E-01	
2.000E-01	1.219E-01	1.063E-04	1.220E-01	
3.000E-01	1.062E-01	2.980E-05	1.062E-01	
4.000E-01	9.521E-02	1.272E-05	9.523E-02	
5.000E-01	8.699E-02	6.839E-06	8.700E-02	
6.000E-01	8.047E-02	4.253E-06	8.048E-02	
8.000E-01	7.070E-02	2.144E-06	7.070E-02	
1.000E+00	6.358E-02	1.333E-06	6.358E-02	
1.022E+00	6.292E-02	1.229E-06	6.293E-02	
1.250E+00	5.686E-02	8.348E-07	5.687E-02	
1.500E+00	5.169E-02	6.062E-07	5.177E-02	
2.000E+00	4.410E-02	3.826E-07	4.442E-02	
