# Picco 1, Picco2, Segnale combinato
1.121639002306958673e+03,nan,1.121639002306958673e+03
1.025747618417561853e+02,1.308412275893829246e+01,1.025747618417561853e+02
nan,nan,nan
9.920590920570607523e+02,nan,9.920590920570607523e+02
1.044240571266232564e+03,1.211464617590344915e+03,1.044240571266232564e+03
1.115264745495320085e+03,1.057716551623030682e+03,1.115264745495320085e+03
nan,nan,nan
7.645801466627963237e+02,1.261965723625190549e+03,7.645801466627963237e+02
nan,1.236822403773519682e+03,nan
9.606565024530825667e+02,1.245540889445180710e+03,9.606565024530825667e+02
6.531973634139148999e+00,5.346660497172814530e+02,6.531973634139148999e+00
nan,1.184925853704323799e+03,nan
8.266727366196095090e+02,1.017090772751667828e+03,8.266727366196095090e+02
2.726087966867719388e+02,1.308451045229463489e+03,2.726087966867719388e+02
nan,1.281377091660349379e+03,nan
8.802729528147383462e+02,1.276502950311980840e+03,8.802729528147383462e+02
2.397827752807247634e+02,8.672312666245198898e+02,2.397827752807247634e+02
6.838400610939618218e+02,1.220379837932308646e+03,6.838400610939618218e+02
nan,8.944745842872537196e+02,nan
1.017319943397847737e+03,3.457992745909973564e+01,1.017319943397847737e+03
2.587464835966636656e+01,3.857718575700306474e+02,2.587464835966636656e+01
1.141181615165106450e+03,1.211246692908757950e+03,1.141181615165106450e+03
6.790198971646805148e+02,nan,6.790198971646805148e+02
1.076542962475484728e+03,nan,1.076542962475484728e+03
nan,6.544104034235912195e+02,nan
2.487643526272610188e+02,1.190097123547772526e+03,2.487643526272610188e+02
nan,7.735369686834474123e+00,nan
7.524182145824443069e+01,1.295736729510071200e+03,7.524182145824443069e+01
2.584677183895316830e+02,1.251038583996912621e+03,2.584677183895316830e+02
8.611144228121174820e+02,5.136605672637051612e+01,8.611144228121174820e+02
8.912866750557894875e+02,9.476828998231860623e+02,8.912866750557894875e+02
1.116376391410166661e+03,2.551552087827996047e+02,1.116376391410166661e+03
9.747327839647064138e+02,7.010238968121045673e+02,9.747327839647064138e+02
1.158616471126064198e+03,9.241714679505707863e+02,1.158616471126064198e+03
8.487109599980361736e+02,8.523233184137848184e+02,8.487109599980361736e+02
1.276350390421225711e+01,nan,1.276350390421225711e+01
1.107812850049597500e+03,1.013429158638941317e+03,1.107812850049597500e+03
1.081307101709462586e+03,8.807036498112083791e+02,1.081307101709462586e+03
8.782928354969723159e+02,1.305897473742811371e+03,8.782928354969723159e+02
5.594221430780157789e+01,1.306711692023252908e+03,5.594221430780157789e+01
1.310705791468802772e+02,1.712850818354440889e+02,1.310705791468802772e+02
nan,8.894071350011273580e+02,nan
nan,1.123311317379536831e+02,nan
nan,1.442936952408263096e+02,nan
1.023715305404827632e+03,7.635534887501146386e+02,1.023715305404827632e+03
nan,9.732099291897638977e+02,nan
nan,nan,nan
nan,7.524872392794558209e+02,nan
nan,1.232728243114331917e+03,nan
1.821583428564508722e+00,1.888067257309005527e+02,1.821583428564508722e+00
nan,nan,nan
2.141415497057511175e+02,nan,2.141415497057511175e+02
1.149256204040819966e+03,4.904551286279357782e+02,1.149256204040819966e+03
nan,2.553391217298101310e+02,nan
nan,5.578244496123833187e+02,nan
nan,9.270495775613342175e+02,nan
