# Picco 1, Picco2, Segnale combinato
9.227546824537106431e+02,8.597907822716050532e+02,9.227546824537106431e+02
9.254405194381821502e+02,1.000752287068216901e+03,9.254405194381821502e+02
1.017584739434832386e+03,1.016581098442072289e+03,1.017584739434832386e+03
1.005040760291500646e+03,1.019769807665325516e+03,1.005040760291500646e+03
7.798394424522854251e+02,1.122922209034852585e+03,7.798394424522854251e+02
9.323171453087879854e+02,1.057084287985768242e+03,9.323171453087879854e+02
9.744612480622662360e+02,1.031798240664519426e+03,9.744612480622662360e+02
1.015333829025985779e+03,9.977199868816691151e+02,1.015333829025985779e+03
9.293311254608668150e+02,8.333448040059697632e+02,9.293311254608668150e+02
8.785726189471995440e+02,1.094683189982285967e+03,8.785726189471995440e+02
1.056462618915959865e+03,1.057940844671959439e+03,1.056462618915959865e+03
8.802198205385683423e+02,1.048908035163099612e+03,8.802198205385683423e+02
8.133383219853272976e+02,1.058379933970846650e+03,8.133383219853272976e+02
7.796500843567678203e+02,1.075873750839860122e+03,7.796500843567678203e+02
9.520687676112518147e+02,9.585430309393933612e+02,9.520687676112518147e+02
8.874444908064941728e+02,1.086857884407861775e+03,8.874444908064941728e+02
9.198299636774021337e+02,9.023383322171039254e+02,9.198299636774021337e+02
9.981802051970686307e+02,9.561471186089192997e+02,9.981802051970686307e+02
8.640225232619534381e+02,9.083467152921416528e+02,8.640225232619534381e+02
1.011858243879126121e+03,9.719824408238521301e+02,1.011858243879126121e+03
8.706067136824431145e+02,1.096973361834481921e+03,8.706067136824431145e+02
8.604430503449272010e+02,9.559546005622196390e+02,8.604430503449272010e+02
9.376158664429642613e+02,1.090897427350816997e+03,9.376158664429642613e+02
8.991569489835097784e+02,9.881794903318135539e+02,8.991569489835097784e+02
9.707599352920266256e+02,1.065533334105194172e+03,9.707599352920266256e+02
8.550813817951253668e+02,1.119160547343797589e+03,8.550813817951253668e+02
1.054498222364741196e+03,1.029234065114516852e+03,1.054498222364741196e+03
8.143465110212922582e+02,1.107994501232908988e+03,8.143465110212922582e+02
7.716688612067615622e+02,9.537809299653285962e+02,7.716688612067615622e+02
8.083860162206616451e+02,9.811826331055830224e+02,8.083860162206616451e+02
9.192461386096684919e+02,8.471675061144279653e+02,9.192461386096684919e+02
8.589417863787928127e+02,1.062329662455231755e+03,8.589417863787928127e+02
9.626035569587439795e+02,9.698039333726558198e+02,9.626035569587439795e+02
9.103786979841513585e+02,9.196210449367310957e+02,9.103786979841513585e+02
9.881727980390788844e+02,9.999189338418163970e+02,9.881727980390788844e+02
