# Picco 1, Picco2, Segnale combinato
1.020994008168061441e+03,1.062718965560153265e+03,1.020994008168061441e+03
1.031778607732564524e+03,1.239427086128232077e+03,1.031778607732564524e+03
9.322811321702297391e+02,1.051374329694345306e+03,9.322811321702297391e+02
1.006163958711458463e+03,1.081403207943427105e+03,1.006163958711458463e+03
1.004349173336945455e+03,1.270825790663195221e+03,1.004349173336945455e+03
1.078439985887643161e+03,1.092541971848379944e+03,1.078439985887643161e+03
1.029030779540598814e+03,1.084687391501587399e+03,1.029030779540598814e+03
1.019694413751645698e+03,9.780979360562505462e+02,1.019694413751645698e+03
9.601120006583925033e+02,1.209225089322997292e+03,9.601120006583925033e+02
1.009101583811192995e+03,1.201375414344086266e+03,1.009101583811192995e+03
1.057462581209691962e+03,1.085039794772855657e+03,1.057462581209691962e+03
8.381099642788765323e+02,1.001444962370107987e+03,8.381099642788765323e+02
1.091810087859379564e+03,1.239518289004465714e+03,1.091810087859379564e+03
1.125368229012015718e+03,1.217174125022344242e+03,1.125368229012015718e+03
1.048533082755176338e+03,1.123842255458790305e+03,1.048533082755176338e+03
1.039604886497061671e+03,1.224359999849753876e+03,1.039604886497061671e+03
1.105437549743347745e+03,1.161932761341558944e+03,1.105437549743347745e+03
1.051803712216706799e+03,1.209555600394918656e+03,1.051803712216706799e+03
1.135636887945327999e+03,1.085359847093144253e+03,1.135636887945327999e+03
1.008775258587546546e+03,1.111477243356983308e+03,1.008775258587546546e+03
1.049789391447049638e+03,1.161170168450563779e+03,1.049789391447049638e+03
1.108695571991469706e+03,1.180769352930264859e+03,1.108695571991469706e+03
1.067438997693774809e+03,1.125214390583089653e+03,1.067438997693774809e+03
1.108810913171967286e+03,1.263498521874352264e+03,1.108810913171967286e+03
1.077252427652346341e+03,1.041990345619397885e+03,1.077252427652346341e+03
1.011954238084377835e+03,1.213861455000135948e+03,1.011954238084377835e+03
1.026969811261811174e+03,1.047443354584112058e+03,1.026969811261811174e+03
9.347223357109105564e+02,1.022046601447342482e+03,9.347223357109105564e+02
1.059472547214809310e+03,1.165327350671007480e+03,1.059472547214809310e+03
1.109070417439221274e+03,1.211424782727321826e+03,1.109070417439221274e+03
1.049785642835837280e+03,7.858281889714969566e+02,1.049785642835837280e+03
9.735849869092013478e+02,1.210478777088323113e+03,9.735849869092013478e+02
1.033849393305454441e+03,1.068824282270657477e+03,1.033849393305454441e+03
1.065739265681898360e+03,1.272679109390573558e+03,1.065739265681898360e+03
1.047338094599198030e+03,1.127905882094044955e+03,1.047338094599198030e+03
1.056641740095175010e+03,1.177302355342421606e+03,1.056641740095175010e+03
1.072083014960918945e+03,1.232678965150756767e+03,1.072083014960918945e+03
9.292579187970021621e+02,1.100522786229387975e+03,9.292579187970021621e+02
9.840186368395309273e+02,9.999414115042318372e+02,9.840186368395309273e+02
9.163158149341866192e+02,1.148004274187676856e+03,9.163158149341866192e+02
1.057774850768648776e+03,1.212328093970226519e+03,1.057774850768648776e+03
1.009497750238598087e+03,1.223125048557885520e+03,1.009497750238598087e+03
9.230145340677147487e+02,1.095667725968814693e+03,9.230145340677147487e+02
1.073638942393796924e+03,1.034866285604038467e+03,1.073638942393796924e+03
1.139706227181542545e+03,1.074960913659612743e+03,1.139706227181542545e+03
1.048457643736054024e+03,1.294659179584937874e+03,1.048457643736054024e+03
1.134689450478330173e+03,1.159881448404313232e+03,1.134689450478330173e+03
9.294118332036623542e+02,9.079551932378376478e+02,9.294118332036623542e+02
1.108689487895648881e+03,1.185190354853496274e+03,1.108689487895648881e+03
9.333111725416858917e+02,1.157997613254242424e+03,9.333111725416858917e+02
1.063049403371646122e+03,1.196971521368721369e+03,1.063049403371646122e+03
1.083074283556124328e+03,1.147555135516275186e+03,1.083074283556124328e+03
1.093388877640608598e+03,1.148161837860506694e+03,1.093388877640608598e+03
1.060787249004499245e+03,1.128258510351386803e+03,1.060787249004499245e+03
1.066252810526745179e+03,1.037420077120246333e+03,1.066252810526745179e+03
1.005516996875093696e+03,1.174983335335932452e+03,1.005516996875093696e+03
9.728674581196326017e+02,1.102480855579739227e+03,9.728674581196326017e+02
9.542747054161909546e+02,1.155451787115568095e+03,9.542747054161909546e+02
1.102369517976811039e+03,1.138567062704520595e+03,1.102369517976811039e+03
9.396495958152403318e+02,1.050570334362294489e+03,9.396495958152403318e+02
9.342031506044664866e+02,1.131236533434339435e+03,9.342031506044664866e+02
1.038095602095068443e+03,1.061327118994491684e+03,1.038095602095068443e+03
1.036498379997835855e+03,1.170032068675502160e+03,1.036498379997835855e+03
9.315319318815345468e+02,1.003541732745035347e+03,9.315319318815345468e+02
1.011170218162865012e+03,1.205206059252865543e+03,1.011170218162865012e+03
1.052756899084250335e+03,1.149792088535387620e+03,1.052756899084250335e+03
1.044205834199322453e+03,1.113221184443054199e+03,1.044205834199322453e+03
1.005085113734664674e+03,1.193289651656671822e+03,1.005085113734664674e+03
1.010968977421907312e+03,1.137272810085984702e+03,1.010968977421907312e+03
1.011937929832081750e+03,1.198645550461356834e+03,1.011937929832081750e+03
9.882903506765928796e+02,1.171917385729346506e+03,9.882903506765928796e+02
1.043312779651493202e+03,1.289219819338899242e+03,1.043312779651493202e+03
9.319918081843333084e+02,1.141334347805611287e+03,9.319918081843333084e+02
9.340140311311143932e+02,9.821827245090335055e+02,9.340140311311143932e+02
9.496169048502417809e+02,1.124381319230275722e+03,9.496169048502417809e+02
1.118363410053514826e+03,1.138315819064239804e+03,1.118363410053514826e+03
1.127687270154224279e+03,1.164930015222103066e+03,1.127687270154224279e+03
1.062488110612968740e+03,1.039056576438192906e+03,1.062488110612968740e+03
1.113488133751275882e+03,1.075713638362432903e+03,1.113488133751275882e+03
1.074960035113437470e+03,1.146023300262706243e+03,1.074960035113437470e+03
1.023810839996579830e+03,1.049706010821930477e+03,1.023810839996579830e+03
1.038303776588078563e+03,1.004021786549309581e+03,1.038303776588078563e+03
1.122317020467542534e+03,1.148334037926763131e+03,1.122317020467542534e+03
9.549467802664382816e+02,1.159358086999249736e+03,9.549467802664382816e+02
9.986102020818423171e+02,9.934096177086944408e+02,9.986102020818423171e+02
